Data.origin,Sample.type,SampleID,Ile,Leu,Phe,Thr,Val
Larsen.2013,Bacteria,B1,-12,-12.8,-18.8,-5.2,-13.6
Larsen.2013,Bacteria,B2,-12.9,-13,-17,-8.2,-14.1
Larsen.2013,Bacteria,B3,-18.9,-19.9,-24.6,-15,-20.8
Larsen.2013,Bacteria,B4,-23.7,-25.2,-28.9,-15.1,-26.4
Larsen.2013,Bacteria,B5,-16.1,-17.7,-18.3,-8.3,-17.8
Larsen.2013,Bacteria,B6,-17.1,-19.2,-20.1,-8.6,-21.1
Larsen.2013,Bacteria,B7,-15.6,-17.4,-18.5,-7.4,-19
Larsen.2013,Bacteria,B8,-16.1,-15.9,-17.7,-7.8,-17.7
Larsen.2013,Bacteria,B9,-21.2,-24.1,-27,-16.8,-25.1
Larsen.2013,Bacteria,B10,-18.6,-17.4,-20.9,-12.2,-21.4
Larsen.2013,Bacteria,B11,-18.6,-19,-21.9,-11.6,-22.1
Larsen.2013,Bacteria,B12,-24,-24.2,-28.7,-17.9,-26
Larsen.2013,Daphnia,dL1,-30.9,-35.6,-36,-15.8,-33.3
Larsen.2013,Daphnia,dL2,-33.8,-38.3,-38.8,-20.8,-37.4
Larsen.2013,Daphnia,dL3,-29.6,-34,-34.2,-16.8,-32.5
Larsen.2013,Daphnia,dL4,-34.6,-39.7,-40.2,-21.8,-38.8
Larsen.2013,Daphnia,dL5,-32.2,-37.1,-37.4,-20.6,-35.8
Larsen.2013,Fungi,F1,-23.4,-30,-27.3,-13.8,-25.1
Larsen.2013,Fungi,F2,-22.3,-27.2,-26.5,-11.9,-21.7
Larsen.2013,Fungi,F3,-24.8,-31.1,-30.2,-14.3,-26.1
Larsen.2013,Fungi,F4,-22.7,-29.5,-27.9,-12.2,-26.8
Larsen.2013,Fungi,F8,-6,-12.4,-13.3,-1.2,-8.7
Larsen.2013,Fungi,F5,-8.5,-14.7,-14.5,-1.9,-10.3
Larsen.2013,Fungi,F6,-8.2,-13.8,-15.3,-1.6,-8.3
Larsen.2013,Fungi,F7,-9.5,-17.3,-15.5,-3.3,-10
Larsen.2013,Fungi,F9,-9.3,-16.7,-15.3,-4.4,-11.5
Larsen.2013,Macroalgae,R1,-17.3,-20.2,-19.2,-6.4,-19.2
Larsen.2013,Macroalgae,R2,-15.4,-19.5,-20.7,-4.8,-21.3
Larsen.2013,Macroalgae,R3,-21.7,-25.8,-25.3,-9.2,-25.4
Larsen.2013,Macroalgae,R4,-17,-21.9,-23.7,-11,-19.8
Larsen.2013,Macroalgae,R5,-19.5,-22.5,-25.3,-15.3,-22.4
Larsen.2013,Macroalgae,R6,-16.5,-21,-21.1,-8.7,-20.7
Larsen.2013,Macroalgae,R7,-16.7,-21,-21.1,-5.9,-20.3
