Source,Energy.channel,Trophic.status,Functional.group,Group,Culture_Wild,Location,Description,Habitat,Phylogentic.info,Ile,Leu,Phe,Thr,Val
Thorp & Bowes (2017),Autochthonous,Autotrophic,Green algae,Microalgae,Culture,Commercial lab culture (PureBulk.com),Chlorella sp.,Marine_Freshwater,Chlorophyta,-32,-35.47,-33.52,-26.31,-35.69
Thorp & Bowes (2017),Autochthonous,Autotrophic,Green algae,Microalgae,Culture,Commercial lab culture (PureBulk.com),Chlorella sp.,Marine_Freshwater,Chlorophyta,-31.27,-34.08,-35.38,-26.81,-36.07
Thorp & Bowes (2017),Autochthonous,Autotrophic,Green algae,Microalgae,Culture,Commercial lab culture (PureBulk.com),Chlorella sp.,Marine_Freshwater,Chlorophyta,-30.61,-33.7,-36.62,-28.55,-35.08
Thorp & Bowes (2017),Autochthonous,Autotrophic_diazotrophic,Cyanobacteria,Microalgae,Culture,Commercial lab culture (PureBulk.com),Spirulina sp.,Marine_Freshwater,Cyanobacteriota,-25.84,-30.03,-27.41,-12.19,-27.23
Thorp & Bowes (2017),Autochthonous,Autotrophic_diazotrophic,Cyanobacteria,Microalgae,Culture,Commercial lab culture (PureBulk.com),Spirulina sp.,Marine_Freshwater,Cyanobacteriota,-27.33,-33.27,-24.9,-16,-28.3
Thorp & Bowes (2017),Autochthonous,Autotrophic_diazotrophic,Cyanobacteria,Microalgae,Culture,Commercial lab culture (PureBulk.com),Spirulina sp.,Marine_Freshwater,Cyanobacteriota,-27.07,-29.85,-26.73,-12.2,-28.7
Larsen et al. (2013),Autochthonous,Autotrophic_diazotrophic,Cyanobacteria,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Cyanothece sp.,Marine_Freshwater,Cyanobacteria,-27.7,-27.8,-24.9,-10.4,-24
Larsen et al. (2013),Autochthonous,Autotrophic,Cyanobacteria,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Merismopedia punctata,Marine_Freshwater,Cyanobacteria,-28.9,-36,-34.6,-19.5,-32.8
Larsen et al. (2013),Autochthonous,Autotrophic_diazotrophic,Cyanobacteria,Microalgae,Culture,"Lab culture (Culture Collection of Algae, Goettingen University)",Anabaena cylindrica,Marine_Freshwater,Cyanobacteria,-17.3,-23.3,-19.8,-5.9,-20.5
Larsen et al. (2013),Autochthonous,Autotrophic_diazotrophic,Cyanobacteria,Microalgae,Culture,"Lab culture (Culture Collection of Algae, Goettingen University)",Nostoc muscorum,Freshwater_Terrestrial,Cyanobacteria,-20,-25.8,-24,-10.1,-24.2
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Achnanthes brevipes,Marine_Freshwater,Heterokontophyta ,-10.2,-17.3,-18.1,-2.7,-13.8
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Amphora coffaeiformis,Freshwater,Heterokontophyta ,-11.5,-18.7,-19.6,-2,-16.8
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Melosira varians,Freshwater,Stramenopiles,-16.5,-22.1,-20.6,-7,-19.7
Larsen et al. (2013),Autochthonous,Autotrophic_mixotrophic,Microalgae,Microalgae,Culture,"Lab culture (Culture Collection of Algae, Goettingen University)",Phaeodactylum tricornutum,Marine,Stramenopiles,-16.1,-25.5,-23.8,-10.8,-22.9
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Stauroneis constricta,Marine_Freshwater,Stramenopiles,-10.4,-19.3,-16,-4.6,-15.5
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Emiliana huxleyi,Marine,Haptista,-18.3,-27.2,-23.2,-9.1,-24.9
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Emiliana huxleyi,Marine,Haptista,-19.2,-23.8,-24.6,-8.6,-21.1
Larsen et al. (2013),Autochthonous,Autotrophic_mixotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Isochrysis galbana,Marine,Haptista,-18.3,-31.4,-25,-8.9,-26.8
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Culture Collection of Algae, Goettingen University)",Corcontochrysis noctivaga,Freshwater,Haptista,-13.8,-20.5,-21.6,-6.8,-18.8
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Dunaliella sp.,Marine_Freshwater,Chlorophyta,-15.8,-23.7,-19.7,-6.7,-19.2
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Prasinocladus marinus,Marine,Chlorophyta,-15.3,-23.3,-21.4,-2.2,-20.6
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Ankistrodesmus falcatus,Freshwater,Chlorophyta,-10.4,-15.7,-15.9,-8.1,-13
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Culture Collection of Algae, Goettingen University)",Chlamydocapsa maxima,Freshwater,Chlorophyta,-11.4,-16.7,-15.7,-4.2,-15.3
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Culture Collection of Algae, Goettingen University)",Clamydomonas asymmetrica,Freshwater and Marine,Chlorophyta,-16.3,-23.2,-22.2,-6.4,-20.4
Larsen et al. (2013),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,"Lab culture (Culture Collection of Algae, Goettingen University)",Chlamydomonas gigantea,Freshwater,Chlorophyta,-11.4,-18.4,-18.4,-7.1,-15.9
Larsen et al. (2013),Autochthonous,Autotrophic_mixotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Ochromonas minima,Marine,Gyrista,-21,-29.7,-27,-11,-26.4
Larsen et al. (2013),Autochthonous,Autotrophic_mixotrophic,Microalgae,Microalgae,Culture,"Lab culture (Helmholtz Centre for Ocean Research, Kiel, Germany)",Ochromonas villosa,Marine_Freshwater,Stramenopiles,-20.6,-29.3,-26.8,-11.2,-27.2
Larsen et al. (2013),Autochthonous,Autotrophic_mixotrophic,Microalgae,Microalgae,Culture,"Lab culture (Culture Collection of Algae, Goettingen University)",Ochromonas danica,Freshwater,Stramenopiles,-19.8,-29.4,-26.9,-10.7,-27.1
Larsen et al. (2013),Autochthonous,Autotrophic_mixotrophic,Microalgae,Microalgae,Culture,"Lab culture (Culture Collection of Algae, Goettingen University)",Chromulina sp.,Freshwater,Stramenopiles,-26.7,-35.1,-31.9,-13.6,-30.2
Larsen et al. (2013),Autochthonous,Autotrophic_mixotrophic,Microalgae,Microalgae,Culture,"Lab culture (Culture Collection of Algae, Goettingen University)",Cryptomonas sp.,Marine_Freshwater,Cryptophyceae,-22.8,-32.7,-30,-10.7,-28
Arsenault et al. (2022),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,Commercial,Chlorella sp.,Freshwater,Chlorophyta,-36.4,-45,-40.7,-28.7,-36
Arsenault et al. (2022),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,Commercial,Chlorella sp.,Freshwater,Chlorophyta,-35.4,-43.7,-39.7,-28.7,-37.6
Arsenault et al. (2022),Autochthonous,Autotrophic,Microalgae,Microalgae,Culture,Commercial,Chlorella sp.,Freshwater,Chlorophyta,-35.3,-43.5,-39.8,-29.9,-37.3
Arsenault et al. (2022),Autochthonous,Autotrophic_diazotrophic,Cyanobacteria,Microalgae,Culture,Commercial,Spirulina sp.,Marine_Freshwater,Cyanobacteria,-23.3,-28.7,-24.8,-9.8,-23.9
Arsenault et al. (2022),Autochthonous,Autotrophic_diazotrophic,Cyanobacteria,Microalgae,Culture,Commercial,Spirulina sp.,Marine_Freshwater,Cyanobacteria,-23.8,-28.9,-24.7,-10.4,-25.2
Arsenault et al. (2022),Autochthonous,Autotrophic_diazotrophic,Cyanobacteria,Microalgae,Culture,Commercial,Spirulina sp.,Marine_Freshwater,Cyanobacteria,-24.9,-30.1,-24.9,-10.8,-27.2
Wall and Besser et al (this study),Autochthonous,Autotrophic,"Particulate Organic Matter (POM, phytoplankton)",POM,Wild,"Sierra Nevada Mountains, Mammoth Lakes, California, USA",Freshwater,autotrophic,POM,-25.9,-33.3,-32.6,-29.6,-30.5
Wall and Besser et al (this study),Autochthonous,Autotrophic,"Particulate Organic Matter (POM, phytoplankton)",POM,Wild,"Sierra Nevada Mountains, Mammoth Lakes, California, USA",Freshwater,autotrophic,POM,-30.9,-36.7,-34,-27.2,-31
Wall and Besser et al (this study),Autochthonous,Autotrophic,"Particulate Organic Matter (POM, phytoplankton)",POM,Wild,"Sierra Nevada Mountains, Mammoth Lakes, California, USA",Freshwater,autotrophic,POM,-28,-35,-35,-24.6,-29.8
