FishID,LakeID,Date,surface.temp.c,elevation.m,doc.mgL,Freshness Index,SUVA,chla.ugL,TN.mgL,TP.mgL,Species,CPUEfperh,fish.length.cm,fish.weight.kg,fish.age.yr,fish.d13C,fish.d15N,POM.d13C,POM.d15N,d15N.grass,d13C.grass,d15N.pine,d13C.pine,grow.age.1,grow.age.2,grow.age.3,grow.age.4,grow.age.5,grow.age.6,grow.age.7,grow.age.8,grow.age.9,grow.age.10,grow.age.11,grow.age.12,grow.age.13,grow.age.14,grow.age.15,grow.age.16,grow.age.17,grow.age.18,grow.age.19
1,1,6/13/15,8.7,3205,1.4076,0.598539,1.103797418,0.65,0.187,NA,Brooktrout,1.33,17.225,0.19,8,-16.25,5.42,-27.33,0.05,-2.77,-28.13,-1.35,-26.9,0.127,0.074,0.069,0.081,0.049,0.082,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,6/13/15,8.7,3205,1.4076,0.598539,1.103797418,0.65,0.187,NA,Brooktrout,1.33,21.11,0.29,6,-15.84,6.15,-27.33,0.05,-2.77,-28.13,-1.35,-26.9,0.825,0.487,0.284,0.193,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,6/13/15,10.35,3151,1.5036,0.711387,1.252082429,0.36,0.0221,NA,Brooktrout,3.33,16.28,0.2,5,-17.99,6.93,-27.4,2.17,-0.11,-26.46,-1.35,-26.9,0.377,0.243,0.353,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,6/13/15,10.35,3151,1.5036,0.711387,1.252082429,0.36,0.0221,NA,Brooktrout,3.33,19.1,0.22,6,-17.13,6.98,-27.4,2.17,-0.11,-26.46,-1.35,-26.9,0.464,0.385,0.256,0.314,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3,6/23/15,18.15,2774,1.2816,0.566244,2.675984744,0.59,0.486,NA,Brooktrout,2,18.87,0.25,6,-22.48,6.82,-28.2,-0.16,0.09,-27.85,-5.62,-24.92,0.746,0.402,0.392,0.283,0.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3,6/23/15,18.15,2774,1.2816,0.566244,2.675984744,0.59,0.486,NA,Brooktrout,2,18.86,0.22,7,-27.15,6.03,-28.2,-0.16,0.09,-27.85,-5.62,-24.92,0.655,0.384,0.66,0.405,0.384,0.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,3,6/23/15,18.15,2774,1.2816,0.566244,2.675984744,0.59,0.486,NA,Brooktrout,2,17.61,0.2,4,-23.28,7.6,-28.2,-0.16,0.09,-27.85,-5.62,-24.92,0.56,1.118,0.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,3,6/23/15,18.15,2774,1.2816,0.566244,2.675984744,0.59,0.486,NA,Brooktrout,2,18.06,0.24,4,-22.73,7.45,-28.2,-0.16,0.09,-27.85,-5.62,-24.92,0.467,0.206,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,4,6/22/15,14.8,2814,1.0812,0.540524,2.401809073,0.38,0.563,NA,Brooktrout,1,22.48,0.32,3,-24.43,5.83,-27.68,1.86,-1.11,-26.53,NA,NA,0.31,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,5,6/22/15,14.55,2909,1.002,0.559086,1.348875937,0.53,0.392,0.00485,Brooktrout,0.3,17.955,0.24,7,-21.55,5.59,-26.7,1.3,-1.36,-27.12,-0.31,-28.47,0.372,0.983,0.277,0.311,0.249,0.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
