"SampleID","orig.class","phy.group","Lake","Elevation.m","LD1","LD2"
"SNL-ZOOP-01A","Daphnia","cladocera","Lukens",2513,-3.55647933286777,-2.42575171704677
"SNL-ZOOP-02A","Daphnia","cladocera","Lukens",2513,-2.5518821255409,-2.23121438225773
"SNL-ZOOP-03A","calanoid","copepoda","Lukens",2513,-1.79294629940385,-2.28847974260303
"SNL-ZOOP-04A","calanoid","copepoda","Lukens",2513,-1.77550401199986,-2.88892700913874
"SNL-ZOOP-05A","calanoid","copepoda","MayPond",2714,-1.15899992181723,-2.9943319591995
"SNL-ZOOP-06A","calanoid","copepoda","MayPond",2714,0.96946021858708,-2.24472976198786
"SNL-ZOOP-07A","calanoid","copepoda","MayPond",2714,0.16295444565227,-2.04835905313299
"SNL-ZOOP-08A","calanoid_cyclopoid","copepoda","Blue",3054,0.15258917389344,-1.58816124779992
"SNL-ZOOP-09A","calanoid_cyclopoid","copepoda","Blue",3054,0.125517441627714,-1.01403302749604
"SNL-ZOOP-10A","Daphnia","cladocera","Blue",3054,-2.34477536044207,-0.423148278677841
"SNL-ZOOP-11A","Daphnia","cladocera","Blue",3054,-0.283172133808031,-1.00157042002824
"SNL-ZOOP-13A","Daphnia","cladocera","Cascade",3140,0.400289295213029,-1.54903746464101
"SNL-ZOOP-14A","Daphnia","cladocera","Cascade",3140,-0.87848084311725,-2.27211279730355
"SNL-ZOOP-15A","Daphnia","cladocera","EasternBrook",3155,0.379493248787145,-1.23702266803923
"SNL-ZOOP-16A","calanoid_cyclopoid","copepoda","EasternBrook",3155,-1.21761512417561,-2.19802496145203
"SNL-ZOOP-17A","calanoid_cyclopoid","copepoda","EasternBrook",3155,-0.0149071270540039,-1.35685871410433
"SNL-ZOOP-18A","calanoid","copepoda","Granite2",3178,0.0891390132340317,-0.131522987491091
"SNL-ZOOP-19A","Daphnia","cladocera","Granite2",3178,-0.552787048294089,0.367111304766033
"SNL-ZOOP-20A","Ceriodaphnia","cladocera","Granite2",3178,-0.699067993896762,0.605450003284921
"SNL-ZOOP-GFF47",">350um",">350um","Sunrise2",2830,-2.41540559850187,-2.12322346497795
"SNL-ZOOP-GFF48","Holopedium","cladocera","Cascade",3140,-2.43209646603528,-0.96351890065193
"SNL-ZOOP-GFF49",">350um",">350um","Blue",3054,-1.82261025333873,-2.74687083190729
"SNL-ZOOP-GFF53",">350um",">350um","EasternBrook",3155,-2.08904141970294,-2.34775348602931
"SNL-ZOOP-GFF65",">350um",">350um","Lukens",2513,-2.00891569314742,-3.03483478355981
"SNL-ZOOP-GFF66",">350um",">350um","Greenstone",3091,-1.6556935625521,-1.91909730579958
"SNL-ZOOP-GFF67",">350um",">350um","Granite2",3178,-1.88290816764861,-0.110649093053533
"SNL-ZOOP-GFF69",">350um",">350um","MayPond",2714,-2.54820460179028,-3.0204477104483
"SNL-ZOOP-GFF70",">350um",">350um","Cascade",3140,-1.42052259090193,-2.64628496140359
