"SampleID","orig.class","phy.group","Lake","elevation..m","Ile.n","Leu.n","Phe.n","Thr.n","Val.n"
"SNL-ZOOP-09A","calanoid_cyclopoid","copepoda","Blue",3054,1.54,-6.36,-2.86,6.94,0.740000000000002
"SNL-ZOOP-09A","calanoid_cyclopoid","copepoda","Blue",3054,1.54,-6.36,-2.86,6.94,0.740000000000002
"SNL-ZOOP-08A","calanoid_cyclopoid","copepoda","Blue",3054,2.18,-7.52,-5.32,9.08,1.58
"SNL-ZOOP-08A","calanoid_cyclopoid","copepoda","Blue",3054,2.18,-7.52,-5.32,9.08,1.58
"SNL-ZOOP-08A","calanoid_cyclopoid","copepoda","Blue",3054,2.18,-7.52,-5.32,9.08,1.58
"SNL-ZOOP-08A","calanoid_cyclopoid","copepoda","Blue",3054,2.18,-7.52,-5.32,9.08,1.58
"SNL-ZOOP-08A","calanoid_cyclopoid","copepoda","Blue",3054,2.18,-7.52,-5.32,9.08,1.58
"SNL-ZOOP-08A","calanoid_cyclopoid","copepoda","Blue",3054,2.18,-7.52,-5.32,9.08,1.58
"SNL-ZOOP-08A","calanoid_cyclopoid","copepoda","Blue",3054,2.18,-7.52,-5.32,9.08,1.58
"SNL-ZOOP-10A","Daphnia","cladocera","Blue",3054,2.32,-4.68,-5.08,10.22,-2.78
"SNL-ZOOP-10A","Daphnia","cladocera","Blue",3054,2.32,-4.68,-5.08,10.22,-2.78
"SNL-ZOOP-10A","Daphnia","cladocera","Blue",3054,2.32,-4.68,-5.08,10.22,-2.78
"SNL-ZOOP-10A","Daphnia","cladocera","Blue",3054,2.32,-4.68,-5.08,10.22,-2.78
"SNL-ZOOP-09A","calanoid_cyclopoid","copepoda","Blue",3054,1.54,-6.36,-2.86,6.94,0.740000000000002
"SNL-ZOOP-08A","calanoid_cyclopoid","copepoda","Blue",3054,2.18,-7.52,-5.32,9.08,1.58
"SNL-ZOOP-08A","calanoid_cyclopoid","copepoda","Blue",3054,2.18,-7.52,-5.32,9.08,1.58
"SNL-ZOOP-09A","calanoid_cyclopoid","copepoda","Blue",3054,1.54,-6.36,-2.86,6.94,0.740000000000002
"SNL-ZOOP-GFF49",">350um",">350um","Blue",3054,4.5,-6.2,-5.7,6.5,0.899999999999999
"SNL-ZOOP-11A","Daphnia","cladocera","Blue",3054,2.62,-6.98,-5.28,9.22,0.419999999999998
"SNL-ZOOP-GFF49",">350um",">350um","Blue",3054,4.5,-6.2,-5.7,6.5,0.899999999999999
"SNL-ZOOP-GFF49",">350um",">350um","Blue",3054,4.5,-6.2,-5.7,6.5,0.899999999999999
"SNL-ZOOP-10A","Daphnia","cladocera","Blue",3054,2.32,-4.68,-5.08,10.22,-2.78
"SNL-ZOOP-09A","calanoid_cyclopoid","copepoda","Blue",3054,1.54,-6.36,-2.86,6.94,0.740000000000002
"SNL-ZOOP-09A","calanoid_cyclopoid","copepoda","Blue",3054,1.54,-6.36,-2.86,6.94,0.740000000000002
