"SampleID","Source","Mean","SD","2.5.perc","5.perc","25.perc","50.perc","75.perc","95.perc","97.5.perc"
"","","SD","2.5%","5%","25%","50%","75%","95%","97.5%",NA
"Algae","SNL-ZOOP-01A","0.197","0.047","0.111","0.124","0.163","0.193","0.226","0.283","0.301"
"Algae","SNL-ZOOP-02A","0.106","0.067","0.013","0.019","0.054","0.093","0.145","0.234","0.261"
"Algae","SNL-ZOOP-03A","0.054","0.041","0.006","0.009","0.024","0.044","0.074","0.133","0.155"
"Algae","SNL-ZOOP-04A","0.048","0.034","0.005","0.008","0.022","0.039","0.065","0.116","0.135"
"Algae","SNL-ZOOP-05A","0.031","0.024","0.004","0.005","0.014","0.025","0.043","0.079","0.091"
"Algae","SNL-ZOOP-06A","0.062","0.044","0.007","0.011","0.030","0.052","0.086","0.148","0.174"
"Algae","SNL-ZOOP-07A","0.061","0.044","0.007","0.010","0.028","0.051","0.083","0.149","0.172"
"Algae","SNL-ZOOP-08A","0.347","0.142","0.089","0.125","0.240","0.345","0.447","0.581","0.628"
"Algae","SNL-ZOOP-09A","0.229","0.115","0.036","0.056","0.141","0.220","0.307","0.429","0.468"
"Algae","SNL-ZOOP-10A","0.282","0.118","0.060","0.089","0.200","0.283","0.360","0.485","0.519"
"Algae","SNL-ZOOP-11A","0.471","0.136","0.211","0.252","0.374","0.471","0.564","0.699","0.738"
"Algae","SNL-ZOOP-13A","0.310","0.143","0.055","0.085","0.203","0.306","0.405","0.557","0.607"
"Algae","SNL-ZOOP-14A","0.259","0.118","0.049","0.074","0.173","0.253","0.339","0.455","0.498"
"Algae","SNL-ZOOP-15A","0.324","0.139","0.082","0.108","0.223","0.317","0.421","0.554","0.604"
"Algae","SNL-ZOOP-16A","0.305","0.127","0.072","0.105","0.215","0.302","0.385","0.517","0.569"
"Algae","SNL-ZOOP-17A","0.239","0.120","0.039","0.058","0.148","0.229","0.317","0.448","0.486"
"Algae","SNL-ZOOP-18A","0.563","0.133","0.304","0.343","0.466","0.565","0.654","0.778","0.820"
"Algae","SNL-ZOOP-19A","0.670","0.116","0.437","0.477","0.590","0.672","0.753","0.860","0.889"
"Algae","SNL-ZOOP-20A","0.814","0.084","0.627","0.660","0.761","0.822","0.875","0.939","0.952"
"Algae","SNL-ZOOP-GFF47","0.048","0.037","0.005","0.007","0.021","0.039","0.067","0.121","0.146"
"Algae","SNL-ZOOP-GFF48","0.245","0.114","0.041","0.060","0.163","0.242","0.320","0.436","0.478"
"Algae","SNL-ZOOP-GFF49","0.261","0.116","0.056","0.079","0.177","0.259","0.337","0.455","0.492"
"Algae","SNL-ZOOP-GFF53","0.234","0.106","0.041","0.061","0.157","0.232","0.307","0.415","0.452"
"Algae","SNL-ZOOP-GFF65","0.126","0.077","0.015","0.024","0.068","0.113","0.173","0.270","0.303"
"Algae","SNL-ZOOP-GFF66","0.685","0.110","0.470","0.504","0.611","0.688","0.762","0.861","0.894"
"Algae","SNL-ZOOP-GFF67","0.709","0.105","0.502","0.532","0.638","0.711","0.783","0.878","0.910"
"Algae","SNL-ZOOP-GFF69","0.026","0.020","0.003","0.004","0.011","0.021","0.034","0.066","0.077"
"Algae","SNL-ZOOP-GFF70","0.430","0.127","0.187","0.226","0.342","0.430","0.515","0.640","0.690"
"Plants","SNL-ZOOP-01A","0.104","0.051","0.019","0.029","0.067","0.100","0.138","0.195","0.213"
"Plants","SNL-ZOOP-02A","0.088","0.079","0.004","0.006","0.028","0.066","0.126","0.242","0.285"
"Plants","SNL-ZOOP-03A","0.048","0.044","0.002","0.004","0.015","0.034","0.066","0.137","0.168"
"Plants","SNL-ZOOP-04A","0.042","0.039","0.002","0.004","0.013","0.030","0.058","0.123","0.149"
