"SampleID","Source","Mean","SD","2.5.perc","5.perc","25.perc","50.perc","75.perc","95.perc","97.5.perc"
"SNL-ZOOP-01A","Autochthonous","0.896","0.051","0.787","0.805","0.862","0.900","0.933","0.971","0.981"
"SNL-ZOOP-01A","Allochthonous","0.104","0.051","0.019","0.029","0.067","0.100","0.138","0.195","0.213"
"SNL-ZOOP-02A","Autochthonous","0.912","0.079","0.715","0.758","0.874","0.934","0.972","0.994","0.996"
"SNL-ZOOP-02A","Allochthonous","0.088","0.079","0.004","0.006","0.028","0.066","0.126","0.242","0.285"
"SNL-ZOOP-03A","Autochthonous","0.952","0.044","0.832","0.863","0.934","0.966","0.985","0.996","0.998"
"SNL-ZOOP-03A","Allochthonous","0.048","0.044","0.002","0.004","0.015","0.034","0.066","0.137","0.168"
"SNL-ZOOP-04A","Autochthonous","0.958","0.039","0.851","0.877","0.942","0.970","0.987","0.996","0.998"
"SNL-ZOOP-04A","Allochthonous","0.042","0.039","0.002","0.004","0.013","0.030","0.058","0.123","0.149"
"SNL-ZOOP-05A","Autochthonous","0.973","0.025","0.900","0.921","0.963","0.981","0.991","0.997","0.998"
"SNL-ZOOP-05A","Allochthonous","0.027","0.025","0.002","0.003","0.009","0.019","0.037","0.079","0.100"
"SNL-ZOOP-06A","Autochthonous","0.938","0.058","0.779","0.816","0.914","0.958","0.982","0.995","0.997"
"SNL-ZOOP-06A","Allochthonous","0.062","0.058","0.003","0.005","0.018","0.042","0.086","0.184","0.221"
"SNL-ZOOP-07A","Autochthonous","0.940","0.058","0.783","0.822","0.915","0.959","0.982","0.996","0.997"
"SNL-ZOOP-07A","Allochthonous","0.060","0.058","0.003","0.004","0.018","0.041","0.085","0.178","0.217"
"SNL-ZOOP-08A","Autochthonous","0.726","0.195","0.327","0.389","0.577","0.749","0.901","0.982","0.990"
"SNL-ZOOP-08A","Allochthonous","0.274","0.195","0.010","0.018","0.099","0.251","0.423","0.611","0.673"
"SNL-ZOOP-09A","Autochthonous","0.760","0.176","0.402","0.448","0.630","0.781","0.918","0.985","0.991"
"SNL-ZOOP-09A","Allochthonous","0.240","0.176","0.009","0.015","0.082","0.219","0.370","0.552","0.598"
"SNL-ZOOP-10A","Autochthonous","0.844","0.128","0.529","0.589","0.772","0.877","0.947","0.987","0.993"
"SNL-ZOOP-10A","Allochthonous","0.156","0.128","0.007","0.013","0.053","0.123","0.228","0.411","0.471"
"SNL-ZOOP-11A","Autochthonous","0.773","0.174","0.394","0.448","0.652","0.809","0.924","0.985","0.991"
"SNL-ZOOP-11A","Allochthonous","0.227","0.174","0.009","0.015","0.076","0.191","0.348","0.552","0.606"
"SNL-ZOOP-13A","Autochthonous","0.743","0.194","0.330","0.390","0.596","0.775","0.915","0.986","0.992"
"SNL-ZOOP-13A","Allochthonous","0.257","0.194","0.008","0.014","0.085","0.225","0.404","0.610","0.670"
"SNL-ZOOP-14A","Autochthonous","0.800","0.154","0.461","0.509","0.694","0.831","0.932","0.986","0.993"
"SNL-ZOOP-14A","Allochthonous","0.200","0.154","0.007","0.014","0.068","0.169","0.306","0.491","0.539"
"SNL-ZOOP-15A","Autochthonous","0.702","0.203","0.298","0.350","0.544","0.715","0.884","0.983","0.991"
"SNL-ZOOP-15A","Allochthonous","0.298","0.203","0.009","0.017","0.116","0.285","0.456","0.650","0.702"
"SNL-ZOOP-16A","Autochthonous","0.816","0.143","0.484","0.538","0.721","0.844","0.938","0.986","0.992"
"SNL-ZOOP-16A","Allochthonous","0.184","0.143","0.008","0.014","0.062","0.156","0.279","0.462","0.516"
"SNL-ZOOP-17A","Autochthonous","0.738","0.178","0.370","0.426","0.603","0.753","0.897","0.984","0.992"
"SNL-ZOOP-17A","Allochthonous","0.262","0.178","0.008","0.016","0.103","0.247","0.397","0.574","0.630"
"SNL-ZOOP-18A","Autochthonous","0.803","0.160","0.439","0.499","0.695","0.841","0.940","0.988","0.993"
"SNL-ZOOP-18A","Allochthonous","0.197","0.160","0.007","0.012","0.060","0.159","0.305","0.501","0.561"
"SNL-ZOOP-19A","Autochthonous","0.863","0.115","0.587","0.638","0.795","0.895","0.956","0.990","0.994"
"SNL-ZOOP-19A","Allochthonous","0.137","0.115","0.006","0.010","0.044","0.105","0.205","0.362","0.413"
"SNL-ZOOP-20A","Autochthonous","0.930","0.066","0.752","0.792","0.905","0.951","0.978","0.993","0.996"
"SNL-ZOOP-20A","Allochthonous","0.070","0.066","0.004","0.007","0.022","0.049","0.095","0.208","0.248"
"SNL-ZOOP-GFF47","Autochthonous","0.958","0.041","0.848","0.875","0.944","0.971","0.987","0.996","0.997"
"SNL-ZOOP-GFF47","Allochthonous","0.042","0.041","0.003","0.004","0.013","0.029","0.056","0.125","0.152"
"SNL-ZOOP-GFF48","Autochthonous","0.865","0.118","0.568","0.619","0.805","0.900","0.955","0.989","0.994"
"SNL-ZOOP-GFF48","Allochthonous","0.135","0.118","0.006","0.011","0.045","0.100","0.195","0.381","0.432"
"SNL-ZOOP-GFF49","Autochthonous","0.839","0.128","0.538","0.595","0.762","0.870","0.944","0.988","0.993"
"SNL-ZOOP-GFF49","Allochthonous","0.161","0.128","0.007","0.012","0.056","0.130","0.238","0.405","0.462"
"SNL-ZOOP-GFF53","Autochthonous","0.847","0.124","0.559","0.601","0.768","0.881","0.950","0.988","0.993"
"SNL-ZOOP-GFF53","Allochthonous","0.153","0.124","0.007","0.012","0.050","0.119","0.232","0.399","0.441"
"SNL-ZOOP-GFF65","Autochthonous","0.894","0.093","0.647","0.697","0.847","0.920","0.967","0.992","0.995"
"SNL-ZOOP-GFF65","Allochthonous","0.106","0.093","0.005","0.008","0.033","0.080","0.153","0.303","0.353"
