
#################################################################
# Summary Statistics
#################################################################

DIC = 93.34615

                    Mean    SD  2.5%    5%   25%   50%   75%    95%  97.5%
Epsilon.1          3.559 1.694 1.040 1.277 2.348 3.273 4.507  6.696  7.690
Epsilon.2          2.177 1.047 0.716 0.873 1.441 1.992 2.700  4.129  4.761
phy.group.SD       2.838 3.283 0.248 0.311 0.782 1.448 3.393 10.901 12.448
p.global.Algae     0.124 0.137 0.005 0.010 0.044 0.077 0.127  0.497  0.540
p.global.Plants    0.218 0.121 0.064 0.075 0.123 0.182 0.303  0.431  0.490
p.global.POM       0.657 0.172 0.319 0.332 0.528 0.684 0.811  0.873  0.888
p.>350um.Algae     0.020 0.025 0.000 0.000 0.001 0.010 0.031  0.072  0.088
p.cladocera.Algae  0.058 0.065 0.000 0.000 0.002 0.039 0.090  0.190  0.232
p.copepoda.Algae   0.030 0.037 0.000 0.000 0.001 0.017 0.046  0.099  0.126
p.>350um.Plants    0.044 0.043 0.000 0.000 0.004 0.034 0.073  0.126  0.142
p.cladocera.Plants 0.138 0.064 0.011 0.026 0.093 0.140 0.182  0.242  0.262
p.copepoda.Plants  0.219 0.093 0.013 0.045 0.161 0.224 0.285  0.365  0.394
p.>350um.POM       0.936 0.057 0.811 0.833 0.899 0.943 0.991  1.000  1.000
p.cladocera.POM    0.804 0.095 0.603 0.651 0.744 0.805 0.863  0.968  0.989
p.copepoda.POM     0.751 0.110 0.526 0.572 0.678 0.749 0.819  0.954  0.987
