
#################################################################
# Summary Statistics
#################################################################

DIC = 159.6009

                         Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.SNL-ZOOP-01A.Algae    0.043 0.038 0.001 0.003 0.014 0.033 0.062 0.119 0.138
p.SNL-ZOOP-02A.Algae    0.043 0.061 0.000 0.001 0.005 0.019 0.055 0.169 0.227
p.SNL-ZOOP-03A.Algae    0.041 0.057 0.000 0.001 0.006 0.021 0.053 0.149 0.197
p.SNL-ZOOP-04A.Algae    0.033 0.043 0.000 0.001 0.006 0.017 0.041 0.119 0.157
p.SNL-ZOOP-05A.Algae    0.034 0.045 0.000 0.001 0.007 0.018 0.043 0.121 0.159
p.SNL-ZOOP-06A.Algae    0.039 0.047 0.001 0.002 0.009 0.024 0.051 0.129 0.168
p.SNL-ZOOP-07A.Algae    0.047 0.057 0.001 0.001 0.009 0.027 0.063 0.161 0.203
p.SNL-ZOOP-08A.Algae    0.057 0.071 0.001 0.001 0.010 0.031 0.075 0.198 0.255
p.SNL-ZOOP-09A.Algae    0.076 0.093 0.001 0.002 0.013 0.042 0.106 0.268 0.327
p.SNL-ZOOP-10A.Algae    0.121 0.162 0.000 0.001 0.008 0.038 0.188 0.468 0.549
p.SNL-ZOOP-11A.Algae    0.080 0.098 0.001 0.002 0.012 0.042 0.110 0.283 0.359
p.SNL-ZOOP-13A.Algae    0.057 0.068 0.001 0.002 0.011 0.032 0.076 0.190 0.243
p.SNL-ZOOP-14A.Algae    0.045 0.058 0.001 0.001 0.008 0.023 0.060 0.164 0.210
p.SNL-ZOOP-15A.Algae    0.065 0.076 0.001 0.002 0.012 0.036 0.088 0.225 0.282
p.SNL-ZOOP-16A.Algae    0.047 0.061 0.000 0.001 0.007 0.024 0.064 0.169 0.217
p.SNL-ZOOP-17A.Algae    0.066 0.080 0.001 0.001 0.012 0.036 0.090 0.232 0.295
p.SNL-ZOOP-18A.Algae    0.123 0.140 0.001 0.002 0.016 0.063 0.194 0.413 0.473
p.SNL-ZOOP-19A.Algae    0.180 0.198 0.001 0.001 0.014 0.086 0.320 0.573 0.650
p.SNL-ZOOP-20A.Algae    0.207 0.220 0.001 0.001 0.014 0.101 0.391 0.621 0.686
p.SNL-ZOOP-GFF47.Algae  0.046 0.063 0.000 0.001 0.006 0.021 0.057 0.178 0.231
p.SNL-ZOOP-GFF48.Algae  0.087 0.122 0.000 0.001 0.007 0.029 0.117 0.355 0.433
p.SNL-ZOOP-GFF49.Algae  0.034 0.045 0.000 0.001 0.006 0.017 0.046 0.123 0.153
p.SNL-ZOOP-GFF53.Algae  0.041 0.054 0.000 0.001 0.006 0.020 0.053 0.154 0.193
p.SNL-ZOOP-GFF65.Algae  0.032 0.042 0.000 0.001 0.005 0.016 0.040 0.119 0.155
p.SNL-ZOOP-GFF66.Algae  0.053 0.071 0.000 0.001 0.007 0.024 0.071 0.197 0.252
p.SNL-ZOOP-GFF67.Algae  0.144 0.181 0.001 0.001 0.010 0.050 0.244 0.524 0.610
p.SNL-ZOOP-GFF69.Algae  0.031 0.042 0.000 0.001 0.005 0.015 0.040 0.111 0.145
p.SNL-ZOOP-GFF70.Algae  0.037 0.049 0.000 0.001 0.006 0.019 0.047 0.131 0.167
p.SNL-ZOOP-01A.Plants   0.091 0.032 0.034 0.041 0.067 0.089 0.111 0.146 0.160
p.SNL-ZOOP-02A.Plants   0.053 0.045 0.004 0.006 0.019 0.040 0.072 0.144 0.173
p.SNL-ZOOP-03A.Plants   0.071 0.060 0.004 0.007 0.024 0.054 0.103 0.193 0.226
p.SNL-ZOOP-04A.Plants   0.061 0.052 0.004 0.006 0.022 0.045 0.086 0.169 0.193
p.SNL-ZOOP-05A.Plants   0.080 0.068 0.005 0.007 0.026 0.060 0.119 0.214 0.249
p.SNL-ZOOP-06A.Plants   0.325 0.173 0.013 0.025 0.189 0.358 0.461 0.569 0.598
p.SNL-ZOOP-07A.Plants   0.218 0.137 0.008 0.016 0.097 0.216 0.326 0.443 0.476
