
#################################################################
# Summary Statistics
#################################################################

DIC = 156.8999

                         Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.SNL-ZOOP-01A.Algae    0.044 0.037 0.001 0.003 0.015 0.034 0.063 0.119 0.136
p.SNL-ZOOP-02A.Algae    0.041 0.057 0.000 0.001 0.006 0.019 0.052 0.157 0.205
p.SNL-ZOOP-03A.Algae    0.044 0.059 0.001 0.001 0.007 0.023 0.058 0.157 0.221
p.SNL-ZOOP-04A.Algae    0.034 0.043 0.000 0.001 0.006 0.017 0.044 0.124 0.160
p.SNL-ZOOP-05A.Algae    0.033 0.041 0.000 0.001 0.006 0.019 0.044 0.117 0.149
p.SNL-ZOOP-06A.Algae    0.039 0.047 0.001 0.002 0.010 0.024 0.054 0.122 0.153
p.SNL-ZOOP-07A.Algae    0.046 0.054 0.001 0.002 0.010 0.028 0.063 0.152 0.190
p.SNL-ZOOP-08A.Algae    0.059 0.071 0.001 0.002 0.011 0.035 0.080 0.199 0.245
p.SNL-ZOOP-09A.Algae    0.075 0.089 0.001 0.002 0.014 0.041 0.107 0.258 0.319
p.SNL-ZOOP-10A.Algae    0.122 0.162 0.000 0.001 0.009 0.040 0.191 0.474 0.542
p.SNL-ZOOP-11A.Algae    0.082 0.100 0.001 0.002 0.013 0.042 0.115 0.292 0.374
p.SNL-ZOOP-13A.Algae    0.057 0.066 0.001 0.002 0.011 0.033 0.077 0.193 0.241
p.SNL-ZOOP-14A.Algae    0.046 0.058 0.001 0.001 0.008 0.024 0.061 0.162 0.204
p.SNL-ZOOP-15A.Algae    0.067 0.077 0.001 0.002 0.013 0.039 0.093 0.220 0.280
p.SNL-ZOOP-16A.Algae    0.048 0.064 0.001 0.001 0.008 0.024 0.061 0.174 0.230
p.SNL-ZOOP-17A.Algae    0.068 0.082 0.001 0.002 0.012 0.036 0.092 0.244 0.294
p.SNL-ZOOP-18A.Algae    0.121 0.140 0.001 0.002 0.017 0.063 0.189 0.402 0.483
p.SNL-ZOOP-19A.Algae    0.179 0.193 0.001 0.002 0.017 0.090 0.320 0.547 0.624
p.SNL-ZOOP-20A.Algae    0.211 0.219 0.001 0.001 0.015 0.110 0.395 0.612 0.681
p.SNL-ZOOP-GFF47.Algae  0.045 0.062 0.000 0.001 0.006 0.021 0.059 0.173 0.226
p.SNL-ZOOP-GFF48.Algae  0.086 0.118 0.000 0.001 0.008 0.032 0.116 0.350 0.417
p.SNL-ZOOP-GFF49.Algae  0.036 0.049 0.000 0.001 0.006 0.018 0.045 0.135 0.170
p.SNL-ZOOP-GFF53.Algae  0.041 0.057 0.000 0.001 0.006 0.020 0.054 0.147 0.197
p.SNL-ZOOP-GFF65.Algae  0.033 0.044 0.000 0.001 0.006 0.017 0.042 0.118 0.162
p.SNL-ZOOP-GFF66.Algae  0.052 0.067 0.001 0.001 0.007 0.025 0.070 0.202 0.246
p.SNL-ZOOP-GFF67.Algae  0.152 0.186 0.000 0.001 0.010 0.055 0.257 0.538 0.609
p.SNL-ZOOP-GFF69.Algae  0.029 0.041 0.000 0.001 0.005 0.015 0.036 0.107 0.139
p.SNL-ZOOP-GFF70.Algae  0.037 0.048 0.000 0.001 0.007 0.020 0.050 0.136 0.169
p.SNL-ZOOP-01A.Plants   0.092 0.034 0.031 0.040 0.068 0.089 0.114 0.151 0.163
p.SNL-ZOOP-02A.Plants   0.053 0.045 0.004 0.006 0.019 0.040 0.073 0.146 0.174
p.SNL-ZOOP-03A.Plants   0.071 0.059 0.004 0.007 0.024 0.053 0.103 0.191 0.223
p.SNL-ZOOP-04A.Plants   0.062 0.055 0.004 0.006 0.021 0.046 0.087 0.175 0.209
p.SNL-ZOOP-05A.Plants   0.080 0.069 0.004 0.007 0.027 0.059 0.116 0.219 0.257
p.SNL-ZOOP-06A.Plants   0.311 0.172 0.010 0.021 0.171 0.337 0.446 0.562 0.597
p.SNL-ZOOP-07A.Plants   0.219 0.136 0.010 0.017 0.098 0.223 0.324 0.439 0.468
p.SNL-ZOOP-08A.Plants   0.248 0.138 0.011 0.022 0.137 0.256 0.356 0.464 0.500
p.SNL-ZOOP-09A.Plants   0.269 0.136 0.013 0.029 0.167 0.282 0.372 0.471 0.504
p.SNL-ZOOP-10A.Plants   0.070 0.056 0.005 0.007 0.026 0.056 0.098 0.184 0.212
p.SNL-ZOOP-11A.Plants   0.215 0.124 0.011 0.020 0.116 0.218 0.305 0.419 0.459
p.SNL-ZOOP-13A.Plants   0.282 0.146 0.015 0.028 0.173 0.301 0.388 0.499 0.538
p.SNL-ZOOP-14A.Plants   0.113 0.086 0.007 0.010 0.041 0.094 0.167 0.282 0.306
p.SNL-ZOOP-15A.Plants   0.299 0.143 0.013 0.033 0.202 0.316 0.404 0.508 0.544
p.SNL-ZOOP-16A.Plants   0.099 0.077 0.005 0.008 0.036 0.082 0.143 0.250 0.282
p.SNL-ZOOP-17A.Plants   0.237 0.134 0.013 0.022 0.126 0.245 0.341 0.450 0.481
p.SNL-ZOOP-18A.Plants   0.294 0.138 0.018 0.037 0.200 0.311 0.397 0.494 0.527
