"SampleID","orig.class","phy.group","Lake","elevation..m","Ile","Leu","Phe","Thr","Val"
"SNL-ZOOP-01A","Daphnia","cladocera","Lukens","2513",-28.4,-35.1,-36.9,-22.5,-31.8
"SNL-ZOOP-02A","Daphnia","cladocera","Lukens","2513",-26.1,-34.8,-34.2,-24,-31.1
"SNL-ZOOP-03A","calanoid","copepoda","Lukens","2513",-29.1,-38,-36.8,-23.5,-33.7
"SNL-ZOOP-04A","calanoid","copepoda","Lukens","2513",-29.2,-38.4,-36.6,-26.4,-33.1
"SNL-ZOOP-05A","calanoid","copepoda","MayPond","2714",-31.1,-40.5,-37.3,-28.7,-34.9
"SNL-ZOOP-06A","calanoid","copepoda","MayPond","2714",-29.7,-39.7,-35.1,-22.7,-30.8
"SNL-ZOOP-07A","calanoid","copepoda","MayPond","2714",-30,-38.7,-34.7,-24.2,-31.4
"SNL-ZOOP-08A","calanoid_cyclopoid","copepoda","Blue","3054",-23.1,-32.8,-30.6,-16.2,-23.7
"SNL-ZOOP-09A","calanoid_cyclopoid","copepoda","Blue","3054",-25.6,-33.5,-30,-20.2,-26.4
"SNL-ZOOP-10A","Daphnia","cladocera","Blue","3054",-24.8,-31.8,-32.2,-16.9,-29.9
"SNL-ZOOP-11A","Daphnia","cladocera","Blue","3054",-21.4,-31,-29.3,-14.8,-23.6
"SNL-ZOOP-13A","Daphnia","cladocera","Cascade","3140",-21.7,-34.4,-31.3,-16.1,-26.8
"SNL-ZOOP-14A","Daphnia","cladocera","Cascade","3140",-22.4,-33.8,-32,-19.4,-26.5
"SNL-ZOOP-15A","Daphnia","cladocera","EasternBrook","3155",-22.7,-32.9,-29.6,-17.5,-24.9
"SNL-ZOOP-16A","calanoid_cyclopoid","copepoda","EasternBrook","3155",-23.1,-33.3,-33,-16.8,-25.7
"SNL-ZOOP-17A","calanoid_cyclopoid","copepoda","EasternBrook","3155",-23.3,-34.2,-31.1,-18.4,-27.6
"SNL-ZOOP-18A","calanoid","copepoda","Granite2","3178",-20,-30,-27.5,-13.4,-24
"SNL-ZOOP-19A","Daphnia","cladocera","Granite2","3178",-19,-27.7,-26,-12.8,-23
"SNL-ZOOP-20A","Ceriodaphnia","cladocera","Granite2","3178",-17.1,-24.9,-24.5,-9.1,-19.1
"SNL-ZOOP-GFF47",">350um",">350um","Sunrise2","2830",-29.1,-37.5,-36.3,-25.7,-35
"SNL-ZOOP-GFF48","Holopedium","cladocera","Cascade","3140",-23.2,-31.9,-30.6,-22.3,-30.4
"SNL-ZOOP-GFF49",">350um",">350um","Blue","3054",-22.5,-33.2,-32.7,-20.5,-26.1
"SNL-ZOOP-GFF53",">350um",">350um","EasternBrook","3155",-24.3,-32.9,-32.9,-20.5,-26.5
"SNL-ZOOP-GFF65",">350um",">350um","Lukens","2513",-24.4,-35.4,-34.6,-22.9,-29.2
"SNL-ZOOP-GFF66",">350um",">350um","Greenstone","3091",-18.1,-28.1,-29.1,-13.2,-19.6
"SNL-ZOOP-GFF67",">350um",">350um","Granite2","3178",-18.2,-26,-25.9,-14.4,-21.9
"SNL-ZOOP-GFF69",">350um",">350um","MayPond","2714",-33.1,-40.3,-39.4,-28.6,-36.4
"SNL-ZOOP-GFF70",">350um",">350um","Cascade","3140",-19.6,-31.8,-30.9,-18.7,-24
