"SampleID","Source","Mean","SD","2.5.perc","5.perc","25.perc","50.perc","75.perc","95.perc","97.5.perc"
"SNL-POM-01","Algae","0.953","0.040","0.851","0.871","0.935","0.964","0.983","0.997","0.998"
"SNL-POM-02","Algae","0.917","0.093","0.670","0.719","0.871","0.955","0.988","0.998","0.999"
"SNL-POM-03","Algae","0.953","0.056","0.796","0.832","0.936","0.974","0.991","0.999","0.999"
"SNL-POM-04","Algae","0.919","0.091","0.676","0.721","0.878","0.956","0.988","0.999","0.999"
"SNL-POM-05","Algae","0.949","0.060","0.777","0.820","0.931","0.972","0.991","0.999","0.999"
"SNL-POM-GFF55","Algae","0.946","0.063","0.769","0.811","0.924","0.970","0.991","0.999","0.999"
"SNL-POM-GFF62","Algae","0.936","0.074","0.736","0.776","0.909","0.967","0.990","0.999","0.999"
"SNL-POM-GFF75","Algae","0.949","0.058","0.789","0.829","0.930","0.971","0.990","0.999","0.999"
"SNL-POM-01","Plants","0.047","0.040","0.002","0.003","0.017","0.036","0.065","0.129","0.149"
"SNL-POM-02","Plants","0.083","0.093","0.001","0.002","0.012","0.045","0.129","0.281","0.330"
"SNL-POM-03","Plants","0.047","0.056","0.001","0.001","0.009","0.026","0.064","0.168","0.204"
"SNL-POM-04","Plants","0.081","0.091","0.001","0.001","0.012","0.044","0.122","0.279","0.324"
"SNL-POM-05","Plants","0.051","0.060","0.001","0.001","0.009","0.028","0.069","0.180","0.223"
"SNL-POM-GFF55","Plants","0.054","0.063","0.001","0.001","0.009","0.030","0.076","0.189","0.231"
"SNL-POM-GFF62","Plants","0.064","0.074","0.001","0.001","0.010","0.033","0.091","0.224","0.264"
"SNL-POM-GFF75","Plants","0.051","0.058","0.001","0.001","0.010","0.029","0.070","0.171","0.211"
