"","Lake","Location","Date","latitude","longitude","elevation..m","depth..m","secchi..m","tow..m","temp..C","DO..perc","DO..mg.L","cond","pH","DOC..mg.L","TDN..ug.L","TDP..ug.L","chla..ug.L","SampleID","Group","Type","orig.class","phy.group","Ile","Leu","Phe","Thr","Val","Ile.n","Leu.n","Phe.n","Thr.n","Val.n","LD.class","LD1","LD2","Auto.mean","Auto.SD","Alloch.mean","Alloch.SD"
"1","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-POM-04","POM","POM <63um","POM","POM",-20.3,-30.6,-29.3,-18.8,-23.7,4.24,-6.06,-4.76,5.74,0.84,"Source",-1.31340745437804,-1.85481783338106,NA,NA,NA,NA
"2","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-09A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.740000000000002,"POM",0.125517441627714,-1.01403302749604,0.731,0.136,0.269,0.136
"3","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-09A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.740000000000002,"POM",0.125517441627714,-1.01403302749604,0.731,0.136,0.269,0.136
"4","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-08A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58,"POM",0.15258917389344,-1.58816124779992,0.752,0.138,0.248,0.138
"5","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-08A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58,"POM",0.15258917389344,-1.58816124779992,0.752,0.138,0.248,0.138
"6","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-08A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58,"POM",0.15258917389344,-1.58816124779992,0.752,0.138,0.248,0.138
"7","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-08A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58,"POM",0.15258917389344,-1.58816124779992,0.752,0.138,0.248,0.138
"8","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-08A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58,"POM",0.15258917389344,-1.58816124779992,0.752,0.138,0.248,0.138
"9","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-08A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58,"POM",0.15258917389344,-1.58816124779992,0.752,0.138,0.248,0.138
"10","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-08A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58,"POM",0.15258917389344,-1.58816124779992,0.752,0.138,0.248,0.138
