"","Group","ID","LD1"
"1","Terrestrial Plants","SNL-TERPLA-SA",2.6637084169993
"2","Terrestrial Plants","SNL-TERPLA-07",5.04688071817604
"3","Terrestrial Plants","SNL-TERPLA-27",2.14316822902092
"4","Terrestrial Plants","SNL-TERPLA-10",3.70545981662395
"5","Terrestrial Plants","SNL-TERPLA-13",4.01545378924938
"6","Terrestrial Plants","SNL-TERPLA-15",2.98529768073049
"7","Terrestrial Plants","SNL-TERPLA-18",4.26506841254764
"8","Terrestrial Plants","SNL-TERPLA-14",2.80192142971293
"11","Terrestrial Plants","SNL-TERPLA-08",2.48394786622224
"12","Terrestrial Plants","SNL-TERPLA-01",4.11166196155858
"16","POM","SNL-POM-GFF75",-5.19625263679134
"17","POM","SNL-POM-05",-4.74174576690608
"18","POM","SNL-POM-02",-3.24929418720361
"19","POM","SNL-POM-GFF62",-5.69342350228041
"21","POM","SNL-POM-04",-3.59454901404859
"29","POM","SNL-POM-03",-5.93984178270962
"30","POM","SNL-POM-GFF55",-5.80746143090178
