"SampleID","Type","Lake","zoop.predict.class","LD1","LD2"
"SNL-ZOOP-01A","Daphnia","Lukens","POM",-3.55647933286776,-2.42575171704677
"SNL-ZOOP-02A","Daphnia","Lukens","POM",-2.5518821255409,-2.23121438225773
"SNL-ZOOP-03A","calanoid","Lukens","POM",-1.79294629940385,-2.28847974260303
"SNL-ZOOP-04A","calanoid","Lukens","POM",-1.77550401199985,-2.88892700913874
"SNL-ZOOP-05A","calanoid","MayPond","POM",-1.15899992181722,-2.9943319591995
"SNL-ZOOP-06A","calanoid","MayPond","POM",0.96946021858708,-2.24472976198786
"SNL-ZOOP-07A","calanoid","MayPond","POM",0.162954445652271,-2.04835905313299
"SNL-ZOOP-08A","calanoid_cyclopoid","Blue","POM",0.15258917389344,-1.58816124779992
"SNL-ZOOP-09A","calanoid_cyclopoid","Blue","POM",0.125517441627714,-1.01403302749604
"SNL-ZOOP-10A","Daphnia","Blue","POM",-2.34477536044207,-0.423148278677842
"SNL-ZOOP-11A","Daphnia","Blue","POM",-0.283172133808031,-1.00157042002824
"SNL-ZOOP-13A","Daphnia","Cascade","POM",0.40028929521303,-1.54903746464101
"SNL-ZOOP-14A","Daphnia","Cascade","POM",-0.878480843117249,-2.27211279730355
"SNL-ZOOP-15A","Daphnia","EasternBrook","POM",0.379493248787145,-1.23702266803923
"SNL-ZOOP-16A","calanoid_cyclopoid","EasternBrook","POM",-1.21761512417561,-2.19802496145203
"SNL-ZOOP-17A","calanoid_cyclopoid","EasternBrook","POM",-0.014907127054003,-1.35685871410433
"SNL-ZOOP-18A","calanoid","Granite2","POM",0.0891390132340317,-0.131522987491091
"SNL-ZOOP-19A","Daphnia","Granite2","Algae",-0.552787048294089,0.367111304766032
"SNL-ZOOP-20A","Ceriodaphnia","Granite2","Algae",-0.699067993896762,0.60545000328492
"SNL-ZOOP-GFF47",">350um","Sunrise2","POM",-2.41540559850187,-2.12322346497795
"SNL-ZOOP-GFF48","Holopedium","Cascade","POM",-2.43209646603528,-0.96351890065193
"SNL-ZOOP-GFF49",">350um","Blue","POM",-1.82261025333872,-2.74687083190729
"SNL-ZOOP-GFF53",">350um","EasternBrook","POM",-2.08904141970294,-2.34775348602931
"SNL-ZOOP-GFF65",">350um","Lukens","POM",-2.00891569314742,-3.03483478355981
"SNL-ZOOP-GFF66",">350um","Greenstone","POM",-1.65569356255209,-1.91909730579958
"SNL-ZOOP-GFF67",">350um","Granite2","Algae",-1.88290816764861,-0.110649093053534
"SNL-ZOOP-GFF69",">350um","MayPond","POM",-2.54820460179028,-3.0204477104483
"SNL-ZOOP-GFF70",">350um","Cascade","POM",-1.42052259090192,-2.64628496140358
