"","SampleID","Group","orig.class","phy.group","Lake","Elevation.m","Ile","Leu","Phe","Thr","Val","Ile.n","Leu.n","Phe.n","Thr.n","Val.n"
"1","ALR-BLUELAKE-30JUL2022-EPILITHIC-1","Algae","Epilithic algae","Algae","Blue","3054",-16.03,-20.87,-21.26,-13.16,-20.16,2.266,-2.574,-2.964,5.136,-1.864
"2","ALR-BLUELAKE-30JUL2022-EPILITHIC-2","Algae","Epilithic algae","Algae","Blue","3054",-17.68,-21.92,-21.97,-12.78,-21.86,1.562,-2.678,-2.728,6.462,-2.618
"3","ALR-BLUELAKE-30JUL2022-FILGREEN-1","Algae","Filamentous green algae","Algae","Blue","3054",-19.29,-23.26,-25.76,-14.12,-23.57,1.91,-2.06,-4.56,7.08,-2.37
"4","ALR-BLUELAKE-30JUL2022-FILGREEN-2","Algae","Filamentous green algae","Algae","Blue","3054",-17.02,-24.29,-23.06,-9.29,-21.94,2.1,-5.17,-3.94,9.83,-2.82
"5","ALR-BLUELAKE-30JUL2022-FILGREEN-3","Algae","Filamentous green algae","Algae","Blue","3054",-11.93,-14.74,-16.48,-6.87,-16.88,1.45,-1.36,-3.1,6.51,-3.5
"6","ALR-EASTBROOK-02AUG2022-EPISALMICDIATOMS-1","Algae","Epipsammic diatoms","Algae","EasternBrook","3155",-23.17,-27.51,-28.41,-18.08,-32.14,2.692,-1.648,-2.548,7.782,-6.278
"7","ALR-EASTBROOK-02AUG2022-EPISALMICDIATOMS-2","Algae","Epipsammic diatoms","Algae","EasternBrook","3155",-23.78,-27.88,-27.43,-18.19,-30.48,1.772,-2.328,-1.878,7.362,-4.928
"8","ALR-SUNRISE-31JUL2022-EPISALMIC-1","Algae","Epipsammic algae ","Algae","Sunrise2","2830",-25.29,-33.01,-31.09,-23.48,-33.89,4.062,-3.658,-1.738,5.872,-4.538
"9","ALR-SUNRISE-31JUL2022-EPISALMIC-2","Algae","Epipsammic algae ","Algae","Sunrise2","2830",-24.87,-33.72,-29.11,-20.17,-30.62,2.828,-6.022,-1.412,7.528,-2.922
"10","SNL-POM-01","POM","POM <63um","POM","Cascade","3140",-25.9,-33.3,-32.6,-29.6,-30.5,4.48,-2.92,-2.22,0.779999999999998,-0.120000000000001
"11","SNL-POM-02","POM","POM <63um","POM","Sunrise2","2830",-30.9,-36.7,-34,-27.2,-31,1.06,-4.74,-2.04,4.76,0.960000000000001
"12","SNL-POM-03","POM","POM <63um","POM","Lukens","2513",-28,-35,-35,-24.6,-29.8,2.48,-4.52,-4.52,5.88,0.68
"13","SNL-POM-04","POM","POM <63um","POM","Blue","3054",-20.3,-30.6,-29.3,-18.8,-23.7,4.24,-6.06,-4.76,5.74,0.84
"14","SNL-POM-05","POM","POM <63um","POM","MayPond","2714",-28.2,-34.6,-33.8,-24.2,-31.2,2.2,-4.2,-3.4,6.2,-0.800000000000001
"15","SNL-POM-GFF55","POM","POM <63um","POM","EasternBrook","3155",-27.8,-34.1,-32.8,-25,-30.7,2.28,-4.02,-2.72,5.08,-0.620000000000001
"16","SNL-POM-GFF62","POM","POM <63um","POM","Granite2","3178",-19.8,-27.6,-26.2,-18.1,-25,3.54,-4.26,-2.86,5.24,-1.66
"17","SNL-POM-GFF75","POM","POM <63um","POM","EasternBrook","3155",-28.6,-33.6,-32.5,-24.9,-31.1,1.54,-3.46,-2.36,5.24,-0.960000000000001
"18","SNL-TERPLA-01","Terrestrial Plants","Pinus contorta ssp. murrayana","Plants","Lukens","2513",-21.2,-37,-28.6,-12.8,-28,4.32,-11.48,-3.08,12.72,-2.48
"19","SNL-TERPLA-07","Terrestrial Plants","Carex spp. ","Plants","Lukens","2513",-22.7,-35.2,-25.2,-17.3,-20,1.38,-11.12,-1.12,6.78,4.08
