
#################################################################
# Summary Statistics
#################################################################

                                Mean    SD  2.5%   25%   50%   75% 97.5%
p.autochthonous.SNL-ZOOP-01A   0.902 0.029 0.845 0.881 0.903 0.921 0.954
p.allochthonous.SNL-ZOOP-01A   0.098 0.029 0.046 0.079 0.097 0.119 0.155
p.autochthonous.SNL-ZOOP-02A   0.946 0.044 0.840 0.923 0.958 0.979 0.995
p.allochthonous.SNL-ZOOP-02A   0.054 0.044 0.005 0.021 0.042 0.077 0.160
p.autochthonous.SNL-ZOOP-03A   0.928 0.057 0.788 0.897 0.942 0.973 0.995
p.allochthonous.SNL-ZOOP-03A   0.072 0.057 0.005 0.027 0.058 0.103 0.212
p.autochthonous.SNL-ZOOP-04A   0.937 0.053 0.801 0.915 0.951 0.976 0.996
p.allochthonous.SNL-ZOOP-04A   0.063 0.053 0.004 0.024 0.049 0.085 0.199
p.autochthonous.SNL-ZOOP-05A   0.919 0.068 0.751 0.883 0.938 0.973 0.995
p.allochthonous.SNL-ZOOP-05A   0.081 0.068 0.005 0.027 0.062 0.117 0.249
p.autochthonous.SNL-ZOOP-06A   0.675 0.170 0.406 0.542 0.649 0.802 0.989
p.allochthonous.SNL-ZOOP-06A   0.325 0.170 0.011 0.198 0.351 0.458 0.594
p.autochthonous.SNL-ZOOP-07A   0.764 0.136 0.516 0.657 0.766 0.878 0.983
p.allochthonous.SNL-ZOOP-07A   0.236 0.136 0.017 0.122 0.234 0.343 0.484
p.autochthonous.SNL-ZOOP-08A   0.737 0.134 0.503 0.636 0.722 0.837 0.987
p.allochthonous.SNL-ZOOP-08A   0.263 0.134 0.013 0.163 0.278 0.364 0.497
p.autochthonous.SNL-ZOOP-09A   0.713 0.133 0.491 0.615 0.696 0.811 0.978
p.allochthonous.SNL-ZOOP-09A   0.287 0.133 0.022 0.189 0.304 0.385 0.509
p.autochthonous.SNL-ZOOP-10A   0.927 0.057 0.782 0.896 0.942 0.971 0.994
p.allochthonous.SNL-ZOOP-10A   0.073 0.057 0.006 0.029 0.058 0.104 0.218
p.autochthonous.SNL-ZOOP-11A   0.768 0.121 0.541 0.680 0.763 0.858 0.982
p.allochthonous.SNL-ZOOP-11A   0.232 0.121 0.018 0.142 0.237 0.320 0.459
p.autochthonous.SNL-ZOOP-13A   0.707 0.143 0.458 0.603 0.689 0.812 0.986
p.allochthonous.SNL-ZOOP-13A   0.293 0.143 0.014 0.188 0.311 0.397 0.542
p.autochthonous.SNL-ZOOP-14A   0.883 0.087 0.685 0.828 0.901 0.955 0.994
p.allochthonous.SNL-ZOOP-14A   0.117 0.087 0.006 0.045 0.099 0.172 0.315
p.autochthonous.SNL-ZOOP-15A   0.677 0.132 0.458 0.585 0.662 0.757 0.954
p.allochthonous.SNL-ZOOP-15A   0.323 0.132 0.046 0.243 0.338 0.415 0.542
p.autochthonous.SNL-ZOOP-16A   0.896 0.077 0.719 0.849 0.913 0.958 0.992
p.allochthonous.SNL-ZOOP-16A   0.104 0.077 0.008 0.042 0.087 0.151 0.281
p.autochthonous.SNL-ZOOP-17A   0.751 0.124 0.533 0.659 0.740 0.847 0.984
p.allochthonous.SNL-ZOOP-17A   0.249 0.124 0.016 0.153 0.260 0.341 0.467
p.autochthonous.SNL-ZOOP-18A   0.698 0.133 0.472 0.603 0.683 0.787 0.973
p.allochthonous.SNL-ZOOP-18A   0.302 0.133 0.027 0.213 0.317 0.397 0.528
p.autochthonous.SNL-ZOOP-19A   0.788 0.121 0.544 0.701 0.789 0.884 0.987
p.allochthonous.SNL-ZOOP-19A   0.212 0.121 0.013 0.116 0.211 0.299 0.456
p.autochthonous.SNL-ZOOP-20A   0.810 0.117 0.580 0.727 0.813 0.905 0.990
p.allochthonous.SNL-ZOOP-20A   0.190 0.117 0.010 0.095 0.187 0.273 0.420
p.autochthonous.SNL-ZOOP-GFF47 0.940 0.047 0.816 0.914 0.952 0.976 0.996
p.allochthonous.SNL-ZOOP-GFF47 0.060 0.047 0.004 0.024 0.048 0.086 0.184
p.autochthonous.SNL-ZOOP-GFF48 0.933 0.053 0.792 0.907 0.949 0.973 0.994
p.allochthonous.SNL-ZOOP-GFF48 0.067 0.053 0.006 0.027 0.051 0.093 0.208
p.autochthonous.SNL-ZOOP-GFF49 0.931 0.057 0.786 0.904 0.945 0.975 0.996
p.allochthonous.SNL-ZOOP-GFF49 0.069 0.057 0.004 0.025 0.055 0.096 0.214
p.autochthonous.SNL-ZOOP-GFF53 0.937 0.051 0.807 0.912 0.950 0.975 0.995
p.allochthonous.SNL-ZOOP-GFF53 0.063 0.051 0.005 0.025 0.050 0.088 0.193
p.autochthonous.SNL-ZOOP-GFF65 0.943 0.049 0.812 0.921 0.956 0.979 0.996
p.allochthonous.SNL-ZOOP-GFF65 0.057 0.049 0.004 0.021 0.044 0.079 0.188
p.autochthonous.SNL-ZOOP-GFF66 0.916 0.067 0.763 0.876 0.933 0.969 0.994
p.allochthonous.SNL-ZOOP-GFF66 0.084 0.067 0.006 0.031 0.067 0.124 0.237
p.autochthonous.SNL-ZOOP-GFF67 0.906 0.070 0.735 0.865 0.921 0.962 0.992
p.allochthonous.SNL-ZOOP-GFF67 0.094 0.070 0.008 0.038 0.079 0.135 0.265
p.autochthonous.SNL-ZOOP-GFF69 0.952 0.041 0.844 0.933 0.964 0.983 0.996
p.allochthonous.SNL-ZOOP-GFF69 0.048 0.041 0.004 0.017 0.036 0.067 0.156
p.autochthonous.SNL-ZOOP-GFF70 0.919 0.064 0.761 0.883 0.935 0.971 0.994
p.allochthonous.SNL-ZOOP-GFF70 0.081 0.064 0.006 0.029 0.065 0.117 0.239

#################################################################
# Summary Statistics
#################################################################

                                Mean    SD  2.5%   25%   50%   75% 97.5%
p.Autochthonous.SNL-ZOOP-01A   0.902 0.029 0.845 0.881 0.903 0.921 0.954
p.Allochthonous.SNL-ZOOP-01A   0.098 0.029 0.046 0.079 0.097 0.119 0.155
p.Autochthonous.SNL-ZOOP-02A   0.946 0.044 0.840 0.923 0.958 0.979 0.995
p.Allochthonous.SNL-ZOOP-02A   0.054 0.044 0.005 0.021 0.042 0.077 0.160
p.Autochthonous.SNL-ZOOP-03A   0.928 0.057 0.788 0.897 0.942 0.973 0.995
p.Allochthonous.SNL-ZOOP-03A   0.072 0.057 0.005 0.027 0.058 0.103 0.212
p.Autochthonous.SNL-ZOOP-04A   0.937 0.053 0.801 0.915 0.951 0.976 0.996
p.Allochthonous.SNL-ZOOP-04A   0.063 0.053 0.004 0.024 0.049 0.085 0.199
